"","expr","time"
"1","df.list <- lapply(file.list, read_csv)",17483605629
"2","df.list <- future_lapply(file.list, read_csv)",11911994096
"3","df.list <- future_lapply(file.list, read_csv)",9941619312
"4","df.list <- lapply(file.list, read_csv)",17726280555
"5","df.list <- future_lapply(file.list, read_csv)",12778679896
"6","df.list <- lapply(file.list, read_csv)",20202289703
"7","df.list <- lapply(file.list, read_csv)",19906016759
"8","df.list <- future_lapply(file.list, read_csv)",19392630200
"9","df.list <- lapply(file.list, read_csv)",13844585590
"10","df.list <- future_lapply(file.list, read_csv)",17316400645
"11","df.list <- lapply(file.list, read_csv)",16063732979
"12","df.list <- future_lapply(file.list, read_csv)",15816852656
"13","df.list <- lapply(file.list, read_csv)",14927277860
"14","df.list <- lapply(file.list, read_csv)",13974216239
"15","df.list <- lapply(file.list, read_csv)",15320675329
"16","df.list <- future_lapply(file.list, read_csv)",22413702766
"17","df.list <- future_lapply(file.list, read_csv)",17052809232
"18","df.list <- future_lapply(file.list, read_csv)",56615422851
"19","df.list <- lapply(file.list, read_csv)",21063688124
"20","df.list <- future_lapply(file.list, read_csv)",17557092122
"21","df.list <- lapply(file.list, read_csv)",14137444475
"22","df.list <- future_lapply(file.list, read_csv)",15202900163
"23","df.list <- lapply(file.list, read_csv)",18646233980
"24","df.list <- future_lapply(file.list, read_csv)",16150385222
"25","df.list <- future_lapply(file.list, read_csv)",16191806115
"26","df.list <- lapply(file.list, read_csv)",14618718755
"27","df.list <- future_lapply(file.list, read_csv)",15502801593
"28","df.list <- future_lapply(file.list, read_csv)",18520411963
"29","df.list <- lapply(file.list, read_csv)",12912875508
"30","df.list <- future_lapply(file.list, read_csv)",13147269100
"31","df.list <- lapply(file.list, read_csv)",12539354845
"32","df.list <- future_lapply(file.list, read_csv)",15825708349
"33","df.list <- lapply(file.list, read_csv)",18954306247
"34","df.list <- lapply(file.list, read_csv)",16965591019
"35","df.list <- future_lapply(file.list, read_csv)",12512713375
"36","df.list <- lapply(file.list, read_csv)",14670540455
"37","df.list <- lapply(file.list, read_csv)",21380968722
"38","df.list <- lapply(file.list, read_csv)",16678500514
"39","df.list <- future_lapply(file.list, read_csv)",14779695872
"40","df.list <- lapply(file.list, read_csv)",17367865696
"41","df.list <- lapply(file.list, read_csv)",14071483351
"42","df.list <- lapply(file.list, read_csv)",15519146187
"43","df.list <- future_lapply(file.list, read_csv)",16947797218
"44","df.list <- lapply(file.list, read_csv)",15056989467
"45","df.list <- future_lapply(file.list, read_csv)",13136769102
"46","df.list <- future_lapply(file.list, read_csv)",14636642379
"47","df.list <- future_lapply(file.list, read_csv)",16889706808
"48","df.list <- future_lapply(file.list, read_csv)",18753103632
"49","df.list <- future_lapply(file.list, read_csv)",15111443004
"50","df.list <- lapply(file.list, read_csv)",16602219175
"51","df.list <- future_lapply(file.list, read_csv)",16847657221
"52","df.list <- future_lapply(file.list, read_csv)",14799001602
"53","df.list <- lapply(file.list, read_csv)",14840770392
"54","df.list <- future_lapply(file.list, read_csv)",13001266142
"55","df.list <- future_lapply(file.list, read_csv)",13635024329
"56","df.list <- lapply(file.list, read_csv)",16545953219
"57","df.list <- future_lapply(file.list, read_csv)",14006871513
"58","df.list <- future_lapply(file.list, read_csv)",18139843287
"59","df.list <- lapply(file.list, read_csv)",15428293653
"60","df.list <- future_lapply(file.list, read_csv)",15221035661
"61","df.list <- lapply(file.list, read_csv)",15832367622
"62","df.list <- future_lapply(file.list, read_csv)",13198472682
"63","df.list <- lapply(file.list, read_csv)",15084524383
"64","df.list <- lapply(file.list, read_csv)",18639444518
"65","df.list <- future_lapply(file.list, read_csv)",12735260236
"66","df.list <- lapply(file.list, read_csv)",20688422871
"67","df.list <- future_lapply(file.list, read_csv)",19984742857
"68","df.list <- future_lapply(file.list, read_csv)",27160984410
"69","df.list <- future_lapply(file.list, read_csv)",17727797225
"70","df.list <- lapply(file.list, read_csv)",19580075933
"71","df.list <- future_lapply(file.list, read_csv)",15400420686
"72","df.list <- lapply(file.list, read_csv)",19729815320
"73","df.list <- future_lapply(file.list, read_csv)",17063145493
"74","df.list <- future_lapply(file.list, read_csv)",14693780631
"75","df.list <- lapply(file.list, read_csv)",15158635924
"76","df.list <- lapply(file.list, read_csv)",17008676639
"77","df.list <- lapply(file.list, read_csv)",16885411702
"78","df.list <- lapply(file.list, read_csv)",14337311662
"79","df.list <- lapply(file.list, read_csv)",13236896701
"80","df.list <- future_lapply(file.list, read_csv)",16704453119
"81","df.list <- lapply(file.list, read_csv)",14740094327
"82","df.list <- lapply(file.list, read_csv)",15674928916
"83","df.list <- future_lapply(file.list, read_csv)",15359667142
"84","df.list <- lapply(file.list, read_csv)",18390364859
"85","df.list <- future_lapply(file.list, read_csv)",16075609249
"86","df.list <- lapply(file.list, read_csv)",17557830947
"87","df.list <- lapply(file.list, read_csv)",16762527119
"88","df.list <- future_lapply(file.list, read_csv)",17106650486
"89","df.list <- future_lapply(file.list, read_csv)",14193739970
"90","df.list <- lapply(file.list, read_csv)",14698517719
"91","df.list <- future_lapply(file.list, read_csv)",16557962958
"92","df.list <- lapply(file.list, read_csv)",14511855666
"93","df.list <- future_lapply(file.list, read_csv)",17421448397
"94","df.list <- lapply(file.list, read_csv)",15645451393
"95","df.list <- lapply(file.list, read_csv)",17883996775
"96","df.list <- lapply(file.list, read_csv)",15123053063
"97","df.list <- lapply(file.list, read_csv)",14359815199
"98","df.list <- future_lapply(file.list, read_csv)",34406787493
"99","df.list <- future_lapply(file.list, read_csv)",45469976381
"100","df.list <- future_lapply(file.list, read_csv)",43525652663
